V = 650,,,V = 600,,,550,,,500,,,700,,,750,,,800,
LLD,Count,,LLD,Count,,LLD,Count,,LLD,Count,,LLD,Count,,LLD,Count,,LLD,Count
1.5,2102,,1.5,2141,,1.5,2186,,1.5,2216,,1.5,2205,,1.5,2252,,1.5,2075
1.55,1594,,1.55,1450,,1.55,1514,,1.55,1533,,1.55,1516,,1.55,1539,,1.55,1521
1.6,1247,,1.6,1256,,1.6,1314,,1.6,1348,,1.6,1308,,1.6,1280,,1.6,1338
1.65,1108,,1.65,1203,,1.65,1116,,1.65,1111,,1.65,1124,,1.65,1145,,1.65,1152
1.7,920,,1.7,902,,1.7,955,,1.7,906,,1.7,937,,1.7,859,,1.7,867
1.75,1070,,1.75,1078,,1.75,1130,,1.75,1110,,1.75,1088,,1.75,1110,,1.75,1075
1.8,2124,,1.8,59594,,1.8,4169,,1.8,1409,,1.8,1407,,1.8,1340,,1.8,1428
1.85,7829,,1.85,58744,,1.85,1594,,1.85,1382,,1.85,1388,,1.85,1443,,1.85,1391
1.9,26286,,1.9,27576,,1.9,1444,,1.9,1407,,1.9,1456,,1.9,1399,,1.9,1412
1.95,59232,,1.95,6272,,1.95,1477,,1.95,1406,,1.95,2516,,1.95,1363,,1.95,1361
2,62925,,2,1869,,2,1399,,2,1378,,2,8711,,2,1437,,2,1390
2.05,34309,,2.05,1400,,2.05,1447,,2.05,1395,,2.05,30414,,2.05,1583,,2.05,1395
2.1,8999,,2.1,1473,,2.1,1378,,2.1,1383,,2.1,58874,,2.1,3065,,2.1,1374
2.15,2396,,2.15,1397,,2.15,1366,,2.15,1400,,2.15,64249,,2.15,10679,,2.15,1451
2.2,1499,,2.2,1411,,2.2,1392,,2.2,1326,,2.2,39056,,2.2,32259,,2.2,1714
2.25,1416,,2.25,1441,,2.25,1408,,2.25,1300,,2.25,13079,,2.25,61000,,2.25,3837
2.3,1370,,2.3,1419,,2.3,1372,,2.3,1357,,2.3,3275,,2.3,63605,,2.3,12611
2.35,1390,,2.35,1418,,2.35,1384,,2.35,1374,,2.35,1561,,2.35,40478,,2.35,32364
2.4,1403,,2.4,1349,,2.4,1418,,2.4,1388,,2.4,1419,,2.4,16280,,2.4,58726
2.45,94,,2.45,92,,2.45,94,,2.45,92,,2.45,94,,2.45,93,,2.45,94
2.5,131,,2.5,132,,2.5,128,,2.5,123,,2.5,130,,2.5,124,,2.5,126
,,,,,,,,,,,,,,,,,,,
